Total Number of Peeps,Number of Rolls,Infection Total,Death Total,Death Homebody Peeps,Death Semihomie Peeps,Death Outgoer Peeps,Percentage of Homebody Peeps Dead,Percentage of Semihomie Peeps Dead,Percentage of Outgoer Peeps Dead,Percentage of Homebody Peeps Alive,Percentage of Semihomie Peeps Alive,Percentage of Outgoer Peeps Alive
3000.00,1000.00,622.00,34.00,9.00,9.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,508.00,45.00,9.00,18.00,18.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,403.00,34.00,4.00,12.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,605.00,33.00,3.00,18.00,12.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,478.00,27.00,5.00,7.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,612.00,44.00,6.00,16.00,22.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,450.00,38.00,7.00,13.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,469.00,26.00,1.00,12.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,716.00,49.00,8.00,17.00,24.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,430.00,30.00,0.00,17.00,13.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,515.00,24.00,3.00,8.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,421.00,26.00,5.00,11.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,576.00,46.00,7.00,16.00,23.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,451.00,26.00,5.00,10.00,11.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,448.00,24.00,6.00,9.00,9.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,669.00,46.00,11.00,12.00,23.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,476.00,29.00,9.00,7.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,468.00,27.00,4.00,7.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,492.00,39.00,6.00,11.00,22.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,493.00,32.00,8.00,10.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,495.00,25.00,4.00,8.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,627.00,36.00,4.00,12.00,20.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,558.00,41.00,9.00,14.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,390.00,20.00,3.00,7.00,10.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,484.00,34.00,6.00,15.00,13.00,0.01,0.01,0.01,0.99,0.98,0.99
3000.00,1000.00,529.00,25.00,4.00,10.00,11.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,450.00,33.00,9.00,11.00,13.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,651.00,49.00,2.00,20.00,27.00,0.00,0.02,0.03,1.00,0.98,0.97
3000.00,1000.00,798.00,63.00,12.00,21.00,30.00,0.01,0.02,0.03,0.99,0.98,0.97
3000.00,1000.00,478.00,27.00,1.00,12.00,14.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,648.00,38.00,5.00,14.00,19.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,499.00,20.00,2.00,7.00,11.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,533.00,49.00,10.00,19.00,20.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,454.00,24.00,4.00,6.00,14.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,442.00,24.00,4.00,9.00,11.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,480.00,28.00,3.00,13.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,620.00,44.00,12.00,12.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,506.00,38.00,7.00,15.00,16.00,0.01,0.01,0.02,0.99,0.98,0.98
3000.00,1000.00,522.00,44.00,10.00,12.00,22.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,484.00,36.00,5.00,16.00,15.00,0.01,0.02,0.01,0.99,0.98,0.98
3000.00,1000.00,687.00,48.00,9.00,14.00,25.00,0.01,0.01,0.03,0.99,0.99,0.97
3000.00,1000.00,510.00,32.00,13.00,14.00,5.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,499.00,40.00,5.00,19.00,16.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,666.00,38.00,6.00,18.00,14.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,539.00,25.00,4.00,7.00,14.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,603.00,32.00,4.00,11.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,574.00,40.00,7.00,16.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,486.00,33.00,3.00,17.00,13.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,534.00,37.00,6.00,14.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,529.00,37.00,4.00,12.00,21.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,491.00,35.00,11.00,12.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,423.00,22.00,5.00,9.00,8.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,482.00,28.00,3.00,12.00,13.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,663.00,39.00,5.00,15.00,19.00,0.01,0.01,0.02,0.99,0.98,0.98
3000.00,1000.00,589.00,45.00,11.00,12.00,22.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,544.00,42.00,8.00,14.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,521.00,32.00,3.00,14.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,550.00,42.00,5.00,19.00,18.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,458.00,27.00,3.00,7.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,508.00,25.00,7.00,11.00,7.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,650.00,48.00,7.00,17.00,24.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,605.00,46.00,10.00,20.00,16.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,700.00,41.00,12.00,11.00,18.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,465.00,31.00,10.00,11.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,547.00,27.00,3.00,8.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,518.00,36.00,6.00,10.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,551.00,35.00,4.00,11.00,20.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,733.00,58.00,5.00,27.00,26.00,0.01,0.03,0.03,0.99,0.97,0.97
3000.00,1000.00,415.00,30.00,7.00,7.00,16.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,544.00,27.00,4.00,5.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,416.00,31.00,2.00,12.00,17.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,535.00,35.00,8.00,16.00,11.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,604.00,45.00,8.00,22.00,15.00,0.01,0.02,0.01,0.99,0.98,0.98
3000.00,1000.00,422.00,40.00,9.00,7.00,24.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,593.00,40.00,5.00,16.00,19.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,577.00,30.00,4.00,12.00,14.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,634.00,34.00,1.00,15.00,18.00,0.00,0.01,0.02,1.00,0.98,0.98
3000.00,1000.00,588.00,40.00,4.00,14.00,22.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,540.00,30.00,4.00,10.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,677.00,51.00,10.00,13.00,28.00,0.01,0.01,0.03,0.99,0.99,0.97
